Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HINDPETRO,ICICIBANK,IBULHSGFIN,INDUSINDBK,INFY,IOC,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
2014-12-31,319.05,752.3,502.4,2432.45,3483.95,1307.65,352.7,646.0,626.4,383.85,3246.2,15075.0,444.8,3385.05,1596.9,1135.9,951.6,3106.65,157.55,760.1,547.45,353.1,459.85,802.45,1972.55,332.25,368.7,1263.9,1494.65,1427.95,1234.45,3329.8,144.0,341.35,138.0,891.15,311.85,826.55,2558.25,495.55,399.4,2593.55,381.65,2676.05,346.55,214.5,555.2,772.05,380.75
2015-01-01,319.55,749.15,503.05,2452.15,3499.7,1286.6,362.9,654.2,628.4,380.05,3210.5,15262.35,442.6,3402.5,1606.8,1124.0,952.05,3105.4,158.45,758.45,550.55,352.3,454.15,812.0,1974.4,336.45,367.15,1258.6,1502.95,1429.2,1237.05,3340.75,142.45,344.05,137.1,887.9,314.0,822.2,2545.55,498.45,404.45,2594.55,379.8,2662.5,341.6,219.25,552.4,772.55,377.7
2015-01-02,319.35,775.05,514.3,2451.75,3443.75,1275.65,365.05,644.4,630.15,381.75,3221.4,15081.95,444.6,3495.7,1605.25,1171.9,965.3,3098.1,160.1,755.95,546.25,362.3,480.35,815.9,2013.2,334.6,368.3,1271.55,1534.65,1432.3,1224.65,3359.6,144.4,349.2,138.75,885.55,315.25,826.25,2579.45,511.8,410.75,2607.25,382.8,2742.1,352.25,222.3,557.3,792.2,380.95
2015-01-05,323.8,775.0,517.55,2460.7,3434.75,1258.7,356.95,645.65,633.0,380.25,3148.4,15150.55,446.0,3508.85,1578.25,1156.4,957.15,3119.4,156.85,760.3,561.7,363.05,483.4,819.1,1995.9,338.2,369.75,1266.45,1556.0,1430.3,1218.45,3447.8,144.0,353.15,138.9,875.85,312.75,826.75,2540.25,523.8,416.7,2563.75,385.9,2747.7,345.7,219.8,558.3,793.9,380.0
2015-01-06,321.85,756.5,499.05,2441.5,3425.85,1229.6,354.15,639.15,614.35,379.95,3065.55,14755.9,431.9,3375.05,1536.1,1101.95,942.25,3014.4,153.4,774.7,556.15,347.65,473.6,798.4,1954.2,334.45,360.25,1251.35,1504.1,1395.85,1211.65,3395.25,139.2,333.15,135.8,836.1,299.9,808.55,2446.6,501.4,396.5,2536.25,372.7,2670.6,328.95,209.05,545.25,771.65,367.9
2015-01-07,321.1,771.7,498.65,2447.2,3495.6,1228.55,355.0,644.95,611.95,374.7,3039.2,14959.9,420.9,3417.5,1499.6,1099.25,945.0,2974.05,148.9,801.9,568.6,338.25,497.5,791.95,1963.55,335.05,353.55,1271.5,1500.5,1377.6,1224.15,3437.75,142.55,338.05,137.75,854.3,300.15,809.8,2417.7,493.85,388.9,2524.4,374.6,2660.05,323.05,209.0,541.1,757.35,364.85
2015-01-08,334.55,820.35,501.95,2450.4,3489.65,1289.8,361.15,677.6,618.2,379.45,3066.3,14873.7,430.75,3424.95,1534.3,1123.35,964.85,2984.0,152.55,817.05,598.05,347.45,504.65,798.7,1973.45,343.5,362.4,1340.65,1510.05,1407.95,1237.6,3475.5,144.95,341.8,138.35,842.05,304.85,818.8,2443.8,512.0,394.95,2566.65,372.9,2727.45,332.8,210.5,545.0,769.15,364.5
2015-01-09,331.15,812.5,494.95,2375.85,3450.05,1279.2,355.8,679.35,632.35,375.05,3163.8,14738.7,435.3,3404.55,1545.55,1113.3,975.65,2992.25,155.0,864.6,589.1,341.85,495.5,802.0,2074.45,341.7,356.9,1360.95,1500.25,1420.7,1238.2,3468.2,140.25,351.0,138.45,860.3,303.2,830.05,2512.3,522.3,399.65,2680.35,372.9,2729.35,332.35,207.8,553.5,763.85,360.8
2015-01-12,328.45,807.75,501.55,2334.0,3438.2,1267.7,348.95,676.4,630.75,357.85,3207.25,14857.65,430.25,3435.55,1575.55,1128.55,967.05,2937.15,151.1,896.6,585.0,346.55,497.6,829.45,2115.95,339.5,357.85,1371.0,1534.2,1431.0,1233.0,3462.9,140.0,347.7,136.5,850.3,307.1,835.3,2509.7,522.3,396.75,2754.0,376.8,2700.3,330.6,206.25,556.05,777.85,360.9
2015-01-13,323.0,833.85,504.5,2324.1,3483.0,1286.45,346.3,669.55,636.4,361.2,3223.35,14799.15,428.15,3546.35,1583.6,1122.2,963.35,2893.2,151.7,884.55,588.1,340.9,492.2,825.5,2088.9,340.15,360.1,1392.95,1519.5,1433.05,1248.8,3468.25,138.95,339.95,135.85,843.15,305.1,833.1,2497.9,519.45,391.5,2761.1,372.2,2818.5,344.75,204.6,563.5,781.75,361.75
